designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro
J002418.89-720226.0,6.0787382,-72.0405626,10.492,11.194,11.642,9.014
J002411.64-720325.4,6.0485238,-72.0570706,7.746,7.922,7.938,8.555
J002431.06-720542.9,6.1294267,-72.0952606,10.320,10.970,11.480,9.157
J002413.34-720354.7,6.0555950,-72.0652138,8.324,8.498,8.490,8.114
J002337.17-720502.4,5.9049064,-72.0840232,9.669,10.051,10.410,9.090
J002353.24-720436.0,5.9718701,-72.0766676,8.385,8.601,8.659,8.072
J002406.07-720636.6,6.0252978,-72.1101775,9.525,10.114,10.092,8.892
J002349.34-720450.8,5.9556159,-72.0807829,6.977,7.311,7.193,7.556
J002436.91-720313.0,6.1538168,-72.0536341,10.128,10.578,10.677,9.313
J002339.70-720500.8,5.9154406,-72.0835617,9.633,9.899,10.012,8.831
J002359.79-720528.0,5.9991552,-72.0911144,5.718,7.271,6.976,6.352
J002422.83-720422.5,6.0951340,-72.0729335,5.443,6.161,5.832,5.870
J002350.35-720550.5,5.9598124,-72.0973873,5.736,6.224,5.984,5.673
J002412.72-720639.7,6.0530131,-72.1110484,5.834,5.497,4.813,4.056
J002427.37-720520.7,6.1140637,-72.0890931,9.650,10.040,10.237,9.332
J002337.15-720637.6,5.9048033,-72.1104701,9.435,9.750,9.871,9.234
J002408.94-720259.5,6.0372790,-72.0498748,6.784,7.046,6.868,6.810
J002351.31-720349.2,5.9637930,-72.0636725,7.042,7.301,7.171,7.200
J002352.76-720651.6,5.9698361,-72.1143421,11.831,16.750,12.548,9.075
J002349.28-720619.6,5.9553612,-72.1054517,7.683,7.867,7.730,7.611
J002420.40-720555.0,6.0850394,-72.0986254,8.093,8.208,8.358,9.201
J002358.94-720234.5,5.9956043,-72.0429250,6.306,7.025,6.806,6.746
J002406.40-720658.8,6.0266796,-72.1163513,8.168,8.235,8.244,8.651
J002413.04-720452.4,6.0543411,-72.0812388,4.461,5.121,6.333,5.813
J002357.00-720648.8,5.9875382,-72.1135773,9.248,9.745,9.664,9.061
J002433.27-720520.2,6.1386384,-72.0889660,11.320,12.407,12.301,9.298
J002407.92-720432.8,6.0330189,-72.0758012,3.587,4.275,5.414,5.010
J002425.69-720629.8,6.1070684,-72.1082944,7.173,7.309,7.044,6.941
J002415.85-720302.7,6.0660782,-72.0507728,8.609,8.805,8.708,8.719
J002354.66-720338.8,5.9777895,-72.0607933,7.002,7.244,7.115,7.160
J002347.35-720332.3,5.9472990,-72.0589761,9.863,10.208,10.645,9.007
J002415.18-720532.9,6.0632898,-72.0924914,6.279,7.532,7.484,7.854
J002347.40-720652.7,5.9475023,-72.1146423,6.609,6.763,6.536,6.412
J002420.37-720449.0,6.0849059,-72.0802795,5.219,6.204,6.121,5.995
J002335.37-720244.4,5.8973956,-72.0456902,10.958,11.403,11.855,9.287
J002356.67-720250.2,5.9861426,-72.0472956,9.436,9.821,9.908,9.333
J002346.30-720448.3,5.9429514,-72.0801078,10.133,10.264,10.518,8.936
J002419.27-720518.8,6.0803182,-72.0885701,8.041,8.279,8.191,8.421
J002414.82-720606.8,6.0617641,-72.1018950,8.888,9.317,9.353,8.980
J002430.98-720559.3,6.1291151,-72.0998276,10.277,11.629,12.350,9.120
J002357.02-720402.4,5.9876157,-72.0673374,8.645,8.830,8.669,8.914
J002342.96-720611.0,5.9290079,-72.1030674,9.401,9.700,9.716,9.242
J002353.17-720415.7,5.9715759,-72.0710306,6.910,7.141,7.026,7.034
J002408.59-720354.9,6.0358121,-72.0652729,5.147,5.439,4.957,4.329
J002414.48-720508.8,6.0603513,-72.0857916,5.293,6.553,6.241,5.977
J002357.66-720530.1,5.9902800,-72.0917126,4.902,6.251,5.855,5.595
J002419.49-720629.6,6.0812212,-72.1082487,9.902,10.258,10.375,9.178
J002437.73-720407.9,6.1572188,-72.0688697,11.555,12.875,12.432,9.210
J002337.74-720529.2,5.9072514,-72.0914682,9.704,10.057,10.016,9.072
J002406.99-720614.7,6.0291558,-72.1040909,8.544,8.745,8.812,8.853
J002342.57-720718.5,5.9273813,-72.1218232,13.262,16.855,12.645,9.350
J002427.00-720352.9,6.1125184,-72.0647022,9.426,9.739,9.895,9.125
J002341.72-720526.3,5.9238409,-72.0906451,10.819,11.292,12.356,8.956
J002411.27-720507.9,6.0469634,-72.0855535,4.850,5.540,6.319,5.872
J002421.77-720300.3,6.0907308,-72.0501050,6.818,6.967,6.795,6.806
J002333.87-720310.6,5.8911557,-72.0529563,11.292,11.843,12.552,9.422
J002350.65-720421.3,5.9610803,-72.0725997,7.366,7.581,7.419,7.512
J002341.58-720645.4,5.9232742,-72.1126176,8.179,8.363,8.262,8.325
J002430.14-720458.6,6.1256030,-72.0829666,8.692,8.858,8.763,9.323
J002359.89-720357.1,5.9995650,-72.0658779,8.150,8.265,8.282,8.783
J002434.40-720512.8,6.1433662,-72.0869096,9.068,9.266,9.366,9.303
J002333.93-720650.5,5.8913963,-72.1140544,9.537,9.786,9.793,9.347
J002350.14-720710.6,5.9589562,-72.1196320,11.827,16.665,12.578,9.174
J002347.77-720536.7,5.9490712,-72.0935346,9.827,9.949,9.393,8.125
J002413.61-720709.6,6.0567252,-72.1193470,9.354,9.713,9.681,9.025
J002424.05-720326.7,6.1002418,-72.0574371,7.474,7.674,7.676,7.971
J002333.87-720328.4,5.8911312,-72.0579093,9.025,9.178,9.268,8.760
J002417.31-720552.5,6.0721642,-72.0979200,8.341,8.571,8.528,9.080
J002349.51-720529.8,5.9563104,-72.0916348,8.658,8.850,8.704,8.802
J002410.26-720238.5,6.0427549,-72.0440392,8.266,8.535,8.622,9.077
J002424.72-720449.3,6.1030169,-72.0803813,8.148,8.318,8.176,7.760
J002341.82-720417.5,5.9242574,-72.0715331,8.302,8.418,8.330,8.459
J002421.02-720331.7,6.0876240,-72.0588209,8.308,8.467,8.464,8.936
J002351.82-720431.5,5.9659498,-72.0754284,8.653,8.777,8.707,8.509
J002349.27-720509.6,5.9553031,-72.0860205,8.623,8.784,8.790,8.138
J002344.14-720620.7,5.9339542,-72.1057519,10.248,10.594,10.715,8.964
J002337.37-720423.1,5.9057325,-72.0731056,10.251,10.761,10.941,9.113
J002337.09-720658.4,5.9045816,-72.1162314,10.943,11.678,12.242,9.217
J002351.18-720637.8,5.9632728,-72.1105045,9.666,10.272,10.176,9.133
J002343.20-720241.6,5.9300248,-72.0449073,9.063,9.322,9.238,8.881
J002336.96-720232.1,5.9040222,-72.0422758,10.744,11.293,11.465,9.380
J002406.67-720442.7,6.0278152,-72.0785555,5.340,6.423,5.991,5.356
J002337.25-720610.2,5.9052292,-72.1028428,10.093,10.454,10.575,9.111
J002428.04-720403.9,6.1168556,-72.0677687,9.516,9.858,9.844,8.705
J002401.37-720649.9,6.0057273,-72.1138653,10.339,11.609,12.503,8.889
J002353.61-720622.1,5.9733813,-72.1061547,9.733,10.130,10.063,8.689
J002342.36-720304.5,5.9265347,-72.0512710,10.268,10.481,10.584,9.171
J002405.10-720452.5,6.0212760,-72.0812723,2.394,4.051,5.826,5.148
J002430.15-720431.4,6.1256346,-72.0754007,6.747,6.800,6.528,6.379
J002429.72-720338.0,6.1238425,-72.0605742,9.327,9.696,9.713,9.323
J002436.65-720539.4,6.1527186,-72.0942886,7.282,7.492,7.336,7.377
J002339.08-720229.2,5.9128497,-72.0414565,10.345,10.737,10.690,9.341
J002354.50-720507.8,5.9771143,-72.0855145,6.434,6.585,6.479,6.474
J002334.15-720348.7,5.8923088,-72.0635403,11.398,13.112,12.214,9.250
J002348.61-720432.2,5.9525614,-72.0756113,9.096,9.245,9.242,8.180
J002346.91-720522.8,5.9454977,-72.0896769,9.434,9.514,9.397,9.204
J002430.06-720254.0,6.1252574,-72.0483561,10.896,11.687,11.768,9.092
J002333.37-720236.0,5.8890466,-72.0433593,11.725,12.232,12.876,9.356
J002435.11-720245.3,6.1463249,-72.0459182,10.436,10.776,11.025,9.368
J002426.37-720251.6,6.1099148,-72.0476681,8.636,8.832,8.867,8.900
J002403.15-720506.1,6.0131432,-72.0850417,1.052,3.633,5.112,4.844
J002434.19-720619.1,6.1424949,-72.1053238,8.389,8.539,8.801,8.703
J002342.44-720331.3,5.9268441,-72.0587158,11.383,12.414,12.111,9.297
J002412.93-720339.2,6.0538824,-72.0609028,8.469,8.728,8.690,7.873
J002420.95-720703.9,6.0873152,-72.1177509,10.366,10.979,11.459,9.002
J002348.06-720505.3,5.9502662,-72.0848254,9.287,9.466,9.416,8.654
J002402.56-720318.7,6.0106673,-72.0551961,8.262,8.628,8.705,8.531
J002402.01-720229.3,6.0084130,-72.0414934,8.473,8.664,8.467,8.355
J002348.63-720259.1,5.9526614,-72.0497773,7.904,7.986,7.770,7.641
J002431.82-720641.0,6.1325838,-72.1113892,11.906,12.824,12.360,9.176
J002415.30-720437.1,6.0637511,-72.0769832,4.238,6.130,5.806,5.667
J002344.66-720358.7,5.9361034,-72.0663211,9.413,9.977,9.998,9.140
J002424.47-720716.8,6.1019987,-72.1213525,10.409,11.110,11.723,9.203
J002407.15-720329.8,6.0297939,-72.0583046,7.544,7.811,7.672,7.285
J002357.86-720427.3,5.9911178,-72.0742709,8.002,8.056,7.958,8.807
J002347.69-720250.5,5.9487357,-72.0473721,6.925,7.412,7.305,7.287
J002436.05-720703.3,6.1502201,-72.1175962,10.459,10.766,11.468,9.245
J002358.18-720331.2,5.9924233,-72.0586732,7.845,8.202,8.192,8.503
J002410.91-720701.2,6.0454787,-72.1170212,8.783,9.078,8.957,6.993
J002431.29-720354.1,6.1303940,-72.0650482,9.344,9.792,9.751,9.193
J002354.56-720637.8,5.9773514,-72.1105233,8.280,8.674,8.540,8.650
J002437.58-720510.7,6.1566087,-72.0863239,9.164,9.311,9.277,8.600
J002421.76-720412.9,6.0906772,-72.0702635,5.833,6.545,6.141,5.826
J002430.29-720226.7,6.1262242,-72.0407642,9.146,9.376,9.283,8.833
J002355.38-720430.4,5.9807649,-72.0751241,8.385,8.503,8.383,8.144
J002347.23-720552.7,5.9468100,-72.0979922,8.591,8.726,8.477,7.745
J002404.36-720654.2,6.0181918,-72.1150833,7.609,7.832,7.844,8.305
J002336.57-720449.6,5.9023754,-72.0804560,9.996,10.271,10.704,9.298
J002401.77-720409.0,6.0074045,-72.0691936,5.969,7.557,7.555,8.585
J002425.79-720548.6,6.1074735,-72.0968559,9.510,10.088,10.389,9.077
J002413.00-720648.6,6.0541693,-72.1135220,9.434,9.663,9.627,8.057
J002430.84-720704.5,6.1285087,-72.1179410,9.339,9.619,9.630,9.252
J002338.16-720439.4,5.9090191,-72.0776305,10.230,10.836,11.205,8.859
J002426.26-720605.3,6.1094431,-72.1014801,10.334,11.110,11.610,9.213
J002358.19-720549.2,5.9924722,-72.0970041,6.045,6.414,6.043,5.633
J002340.51-720619.2,5.9188220,-72.1053554,10.480,11.156,11.848,8.890
J002333.95-720712.4,5.8914838,-72.1201131,9.377,9.605,9.481,9.162
J002358.50-720617.1,5.9937548,-72.1047585,9.738,10.483,11.636,8.833
J002402.30-720657.3,6.0095843,-72.1159190,11.609,15.592,11.443,8.394
J002401.61-720301.2,6.0067293,-72.0503506,8.259,8.363,8.541,9.201
J002406.86-720533.5,6.0286015,-72.0926557,5.777,7.463,7.352,7.904
J002337.34-720255.0,5.9056130,-72.0486274,10.845,11.152,11.622,9.391
J002338.51-720538.2,5.9104810,-72.0939686,10.644,11.081,12.093,9.019
J002408.43-720451.8,6.0351521,-72.0810761,2.798,3.919,5.824,5.125
J002341.68-720502.2,5.9236675,-72.0839658,9.588,9.933,10.193,8.829
J002356.33-720447.9,5.9847159,-72.0799830,7.890,7.986,8.025,8.256
J002344.92-720534.4,5.9371744,-72.0928903,9.035,9.214,9.150,9.083
J002351.03-720717.4,5.9626339,-72.1215192,10.794,11.635,11.673,9.056
J002340.92-720405.7,5.9205092,-72.0682654,6.973,7.250,7.168,7.314
J002348.99-720312.9,5.9541288,-72.0536025,6.823,7.128,7.201,7.276
J002355.67-720624.8,5.9819597,-72.1068919,9.011,9.598,9.750,8.834
J002407.91-720509.6,6.0329906,-72.0860232,3.458,4.482,6.089,5.591
J002400.52-720633.7,6.0021810,-72.1093825,9.554,10.324,11.236,8.352
J002413.32-720721.7,6.0555108,-72.1227130,10.553,11.066,11.203,9.274
