designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
J002418.89-720226.0,6.0787382,-72.0405626,00h24m18.90s,-72d02m26.03s,0.0450,0.0454,0.0083,10.492,0.026,42.4,4.528E+01,11.194,0.024,46.0,1.124E+01,11.642,0.276,3.9,1.006E+00,9.014,null,-1.7,9.761E-01,1,0,0.000,0.000,0.000,0.000,-54,46,-442,44,ddd0,3,44nn,AABU,0011,46,46,46,46,3,22,0,22
J002411.64-720325.4,6.0485238,-72.0570706,00h24m11.65s,-72d03m25.45s,0.0413,0.0416,0.0056,7.746,0.028,38.9,1.810E+01,7.922,0.024,45.7,1.240E+01,7.938,0.027,40.0,1.654E+00,8.555,0.327,3.3,1.251E+00,2,0,0.032,0.000,0.000,0.000,-157,35,-288,35,hdd0,3,131n,AAAB,0011,45,45,45,45,21,21,1,21
J002431.06-720542.9,6.1294267,-72.0952606,00h24m31.06s,-72d05m42.94s,0.0655,0.0624,-0.0062,10.320,0.031,35.4,1.713E+01,10.970,0.036,30.4,9.090E+00,11.480,0.240,4.5,9.124E-01,9.157,null,-2.0,9.778E-01,1,0,0.000,0.000,0.000,0.000,-258,56,332,60,dd00,3,47nn,AABU,0011,46,46,46,46,4,21,0,21
J002413.34-720354.7,6.0555950,-72.0652138,00h24m13.34s,-72d03m54.77s,0.0573,0.0533,-0.0137,8.324,0.031,35.5,1.332E+01,8.498,0.029,37.1,8.261E+00,8.490,0.037,29.3,1.826E+00,8.114,0.223,4.9,3.408E+00,2,0,0.000,0.000,0.000,0.000,56,46,144,45,dhd0,3,2210,AAAB,0011,45,45,45,45,20,20,7,21
J002337.17-720502.4,5.9049064,-72.0840232,00h23m37.18s,-72d05m02.48s,0.0374,0.0383,0.0088,9.669,0.022,48.4,1.144E+02,10.051,0.020,53.8,4.830E+01,10.410,0.076,14.3,1.259E+00,9.090,null,-0.8,9.424E-01,2,0,0.000,0.000,0.000,0.000,-56,87,639,118,dd00,3,n30n,AAAU,0011,44,44,44,44,19,20,0,20
J002353.24-720436.0,5.9718701,-72.0766676,00h23m53.25s,-72d04m36.00s,0.0481,0.0471,-0.0154,8.385,0.026,41.5,4.784E+01,8.601,0.025,42.7,3.210E+01,8.659,0.038,28.9,3.631E+00,8.072,0.214,5.1,1.076E+00,3,0,0.000,0.000,0.000,0.000,42,37,331,36,ddd0,3,441n,AAAB,0011,44,44,43,43,21,21,3,21
J002406.07-720636.6,6.0252978,-72.1101775,00h24m06.07s,-72d06m36.64s,0.0415,0.0429,-0.0048,9.525,0.021,51.1,5.939E+01,10.114,0.025,44.1,1.722E+01,10.092,0.071,15.2,9.263E-01,8.892,null,-0.5,2.032E+00,2,0,0.000,0.000,0.000,0.000,16,35,702,34,ddd0,3,330n,AAAU,0011,43,43,43,43,19,19,0,19
J002349.34-720450.8,5.9556159,-72.0807829,00h23m49.35s,-72d04m50.82s,0.0337,0.0340,0.0041,6.977,0.032,34.3,1.005E+01,7.311,0.020,53.3,8.504E+00,7.193,0.017,65.2,4.472E+00,7.556,0.150,7.3,9.677E-01,1,0,0.110,0.000,0.000,0.000,248,30,-175,31,ddh0,3,053n,AAAB,0011,43,43,43,43,21,21,5,21
J002436.91-720313.0,6.1538168,-72.0536341,00h24m36.92s,-72d03m13.08s,0.0384,0.0385,0.0093,10.128,0.023,46.7,5.121E+01,10.578,0.021,51.4,2.302E+01,10.677,0.099,11.0,1.052E+00,9.313,null,-1.4,9.154E-01,2,0,0.000,0.000,0.000,0.000,-97,34,-134,35,dd00,3,330n,AAAU,0011,46,46,46,46,15,21,0,21
J002339.70-720500.8,5.9154406,-72.0835617,00h23m39.71s,-72d05m00.82s,0.0502,0.0464,0.0030,9.633,0.026,41.2,3.492E+01,9.899,0.026,42.0,2.161E+01,10.012,0.055,19.8,1.418E+00,8.831,null,-0.2,8.320E-01,2,0,0.000,0.000,0.000,0.000,271,40,5,38,dd00,3,551n,AAAU,0011,44,44,44,44,19,20,0,20
J002359.79-720528.0,5.9991552,-72.0911144,00h23m59.80s,-72d05m28.01s,0.0357,0.0338,0.0084,5.718,0.161,6.7,2.564E+02,7.271,0.022,48.3,1.586E+02,6.976,0.018,60.7,8.640E+01,6.352,0.076,14.4,5.511E+00,1,0,0.216,0.000,0.000,0.000,175,29,-1120,28,ddd0,3,nn97,BAAA,0011,30,36,42,43,20,20,15,20
J002422.83-720422.5,6.0951340,-72.0729335,00h24m22.83s,-72d04m22.56s,0.0286,0.0274,-0.0029,5.443,0.066,16.4,2.704E+01,6.161,0.017,62.8,3.856E+02,5.832,0.013,83.9,1.817E+02,5.870,0.044,24.9,5.636E+00,1,0,0.153,0.057,0.000,0.000,450,26,-835,25,ddd0,3,3nn0,AAAA,0011,46,46,46,46,20,20,21,21
