ra,dec,objId,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
229.01960271789,-0.112644030210996,1.23764872125218842E18,21.59099,20.56381,20.24503,20.07441,20.0823
229.02524605008,-0.110459038125658,1.23764872125218842E18,21.88759,20.69313,20.35528,20.2246,20.3553
229.02378946564,-0.115928437264232,1.23764872125218842E18,18.91003,17.65295,17.32726,17.18808,17.1499
229.02710731626,-0.108493903676729,1.23764872125218842E18,19.47492,18.11931,17.56171,17.31107,17.23
229.02003065038,-0.107673739946963,1.23764872125218842E18,19.87885,18.42073,17.77002,17.48834,17.364
229.02468225878,-0.114746072975725,1.23764872125218842E18,21.33983,20.54658,20.06174,19.90592,19.935
229.02718719126,-0.11693358798917,1.23764872125218842E18,18.9454,16.94097,16.12521,15.78053,15.5988
229.02137825997,-0.1173893707638,1.23764872125218842E18,24.2363,21.37432,19.92859,19.23557,18.88
229.01826504358,-0.116942768647371,1.23764872125218842E18,21.50969,20.53183,20.23704,20.06702,20.0816
229.0288339373,-0.106398584838103,1.23764872125218842E18,21.6842,20.57229,20.20944,20.11347,20.2433
229.01511271845,-0.112878960349711,1.23764872125218842E18,21.73272,20.70937,20.37205,20.18502,20.3954
229.01355988881,-0.108622393748343,1.23764872125218842E18,22.0526,20.80145,20.47378,20.35491,20.3899
229.02609935935,-0.10706382998906,1.23764872125218842E18,17.0474,15.84431,15.39187,15.23009,15.1847
229.01696078999,-0.104750284459583,1.23764872125219021E18,22.41762,21.43462,21.14908,21.04497,20.9566
229.01316624617,-0.121244888309028,1.23764872125218842E18,21.97691,19.47063,18.06896,17.02855,16.4766
229.01505071086,-0.121378613093792,1.23764872125218842E18,19.83641,18.29333,17.63926,17.36036,17.2119
229.01414448789,-0.103697429109431,1.23764872125218842E18,25.03555,21.50108,19.97282,18.77776,18.1507
229.02353496642,-0.101304612404523,1.23764872125218842E18,20.64041,19.50923,19.33678,19.31575,19.2464
229.0124223945,-0.110102518980999,1.23764872125218842E18,21.24058,19.94094,19.34969,19.12835,19.0905
229.02012716719,-0.122839771925451,1.23764872125218842E18,21.35583,19.95556,19.42261,19.19965,19.0958
229.02286968127,-0.102407164198433,1.23764872125218842E18,21.57027,20.45296,19.92873,19.74059,19.882
229.03525544463,-0.109778217487182,1.23764872125218842E18,21.67646,20.76722,20.51266,20.46658,20.2994
229.02504131717,-0.122193041270341,1.23764872125218842E18,21.43636,20.40907,20.02327,19.88754,19.8699
229.01102475598,-0.11853176798163,1.23764872125218842E18,21.61703,20.53669,20.14825,19.97353,19.9069
229.03104742418,-0.105400499845507,1.23764872125218842E18,21.74415,20.59888,20.16229,20.12599,19.9285
229.02457026119,-0.098669143945771,1.23764872125218918E18,23.0843,22.15344,21.6806,21.63917,21.5608
229.02629635654,-0.099675527168963,1.23764872125218918E18,24.4388,23.04193,22.92631,22.21465,23.1716
